0	0	0	0	0	0	0	10	229	238	255	255	221	0	0	0	0	0	0	4	15	11	6	1	6	0	0	0	1	1	2	4	14	18	242	255	255	255	230	23	14	2	0	0	0	
0	0	5	5	0	0	0	1	250	255	255	255	32	0	0	0	0	0	0	15	15	1	1	6	15	7	0	0	0	0	2	4	11	11	14	254	254	254	242	24	15	8	2	0	0	
0	0	5	7	5	2	0	9	255	255	255	221	28	0	0	0	0	0	0	0	4	0	1	15	16	7	1	1	0	0	0	2	11	11	17	227	255	255	255	42	2	0	2	0	0	
0	0	0	0	5	2	2	9	255	255	255	236	15	0	4	4	2	0	0	0	1	0	3	11	15	1	1	4	0	0	0	0	8	11	17	226	245	246	255	234	8	0	0	2	3	
0	0	0	0	12	9	9	246	255	255	255	236	15	1	6	4	4	0	0	0	3	0	3	0	8	0	4	4	4	0	0	0	0	7	17	36	245	255	255	246	16	0	0	2	14	
0	0	0	0	2	0	2	255	255	255	255	36	15	5	6	5	8	19	11	11	0	0	0	0	0	0	0	0	9	15	0	7	0	0	0	20	232	255	255	255	33	0	0	0	30	
0	0	0	2	5	0	2	255	255	255	10	8	8	5	1	1	27	28	13	13	0	0	0	0	10	0	9	0	9	0	0	0	0	17	0	17	24	244	255	43	16	0	6	0	18	
16	0	2	0	0	0	2	28	41	13	8	0	8	13	5	5	2	13	2	0	0	0	10	7	10	8	10	0	0	0	0	0	0	17	0	7	7	24	43	16	6	3	14	0	18	
9	0	0	0	1	1	14	14	13	13	10	8	0	0	0	0	2	2	2	0	0	5	6	7	14	8	8	0	0	0	0	0	0	7	0	0	1	16	27	7	6	6	10	6	18	
16	9	17	2	1	2	8	8	3	12	13	12	9	9	8	0	0	0	0	0	0	0	0	7	7	7	0	0	0	0	0	0	1	6	0	0	0	1	5	7	7	7	14	19	25	
12	4	12	4	2	2	8	14	10	10	10	0	0	0	3	2	2	0	8	8	0	0	0	6	12	0	0	0	0	0	1	13	13	6	0	6	6	6	21	13	7	0	10	19	30	
17	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	8	0	0	0	12	12	2	2	2	4	1	4	1	10	6	6	6	6	13	13	13	0	13	13	30	
24	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	2	13	0	8	0	11	0	12	12	2	7	7	7	0	0	0	0	0	0	6	21	21	13	13	0	13	2	7	
24	24	0	0	0	0	0	0	5	0	8	0	13	0	0	0	15	13	13	0	11	11	11	0	0	14	13	13	7	4	0	0	0	0	0	0	0	21	21	18	19	18	14	7	7	
